Lap,Time,Pace,GAP,HR,Distance_km,file,Activity,KM,Elev,Cadence
107.0,10.533333333333333,10.533333333333333,7.333333333333333,127,1.0,../data/run-efforts-table/1.html,1,,,
108.0,9.016666666666667,9.016666666666667,7.85,121,1.0,../data/run-efforts-table/1.html,1,,,
109.0,5.666666666666667,5.666666666666667,5.866666666666667,143,1.0,../data/run-efforts-table/1.html,1,,,
110.0,8.216666666666667,8.216666666666667,6.983333333333333,138,1.0,../data/run-efforts-table/1.html,1,,,
111.0,9.116666666666667,9.116666666666667,8.916666666666666,115,1.0,../data/run-efforts-table/1.html,1,,,
112.0,8.566666666666666,8.566666666666666,8.283333333333333,111,1.0,../data/run-efforts-table/1.html,1,,,
113.0,5.65,24.066666666666666,8.483333333333333,105,0.23,../data/run-efforts-table/1.html,1,,,
1.0,,6.9,6.316666666666666,126,,../data/run-efforts-table/2.html,2,1,21m,164spm
2.0,,6.983333333333333,6.55,128,,../data/run-efforts-table/2.html,2,2,15m,164spm
3.0,,6.316666666666666,6.35,122,,../data/run-efforts-table/2.html,2,3,-7m,170spm
4.0,,6.466666666666667,6.183333333333334,116,,../data/run-efforts-table/2.html,2,4,7m,168spm
5.0,,7.5,6.716666666666667,131,,../data/run-efforts-table/2.html,2,5,26m,152spm
6.0,,7.0,6.283333333333333,123,,../data/run-efforts-table/2.html,2,6,24m,160spm
7.0,,5.933333333333334,6.133333333333334,124,,../data/run-efforts-table/2.html,2,7,-24m,170spm
8.0,,6.183333333333334,6.25,115,,../data/run-efforts-table/2.html,2,8,-14m,166spm
9.0,,6.0,6.033333333333333,120,,../data/run-efforts-table/2.html,2,9,-11m,170spm
10.0,,5.766666666666667,6.066666666666666,117,,../data/run-efforts-table/2.html,2,10,-34m,168spm
11.0,,6.4,6.35,130,,../data/run-efforts-table/2.html,2,11,-4m,164spm
12.0,,6.05,6.05,118,,../data/run-efforts-table/2.html,2,12,-6m,170spm
13.0,,6.716666666666667,6.516666666666667,126,,../data/run-efforts-table/2.html,2,13,4m,154spm
14.0,,6.283333333333333,6.116666666666666,120,,../data/run-efforts-table/2.html,2,14,-1m,170spm
15.0,,6.1,6.25,114,,../data/run-efforts-table/2.html,2,15,-18m,170spm
16.0,,6.5,6.183333333333334,117,,../data/run-efforts-table/2.html,2,16,12m,168spm
17.0,,7.016666666666667,6.716666666666667,129,,../data/run-efforts-table/2.html,2,17,5m,156spm
18.0,,6.683333333333334,6.433333333333334,125,,../data/run-efforts-table/2.html,2,18,7m,162spm
19.0,,6.033333333333333,6.116666666666666,117,,../data/run-efforts-table/2.html,2,19,-10m,170spm
20.0,,6.316666666666666,6.166666666666667,118,,../data/run-efforts-table/2.html,2,20,4m,170spm
21.0,,6.4,6.166666666666667,116,,../data/run-efforts-table/2.html,2,21,8m,170spm
22.0,,7.2,6.816666666666666,128,,../data/run-efforts-table/2.html,2,22,12m,152spm
23.0,,8.35,7.733333333333333,127,,../data/run-efforts-table/2.html,2,23,17m,136spm
24.0,,6.466666666666667,6.316666666666666,126,,../data/run-efforts-table/2.html,2,24,-4m,158spm
25.0,,5.866666666666667,5.983333333333333,124,,../data/run-efforts-table/2.html,2,25,-19m,168spm
26.0,,5.883333333333333,5.983333333333333,136,,../data/run-efforts-table/2.html,2,26,-15m,168spm
27.0,,7.1,6.7,126,,../data/run-efforts-table/2.html,2,27,9m,150spm
28.0,,7.233333333333333,6.833333333333333,133,,../data/run-efforts-table/2.html,2,28,6m,152spm
29.0,,6.533333333333333,6.266666666666667,118,,../data/run-efforts-table/2.html,2,29,1m,170spm
30.0,,7.5,6.7,125,,../data/run-efforts-table/2.html,2,30,26m,154spm
31.0,,6.1,6.433333333333334,116,,../data/run-efforts-table/2.html,2,31,-41m,170spm
32.0,,6.1,6.283333333333333,111,,../data/run-efforts-table/2.html,2,32,-21m,170spm
33.0,,6.65,6.75,111,,../data/run-efforts-table/2.html,2,33,-15m,164spm
34.0,,6.616666666666667,6.116666666666666,123,,../data/run-efforts-table/2.html,2,34,17m,170spm
35.0,,6.766666666666667,6.383333333333334,121,,../data/run-efforts-table/2.html,2,35,12m,170spm
36.0,,6.866666666666667,6.6,120,,../data/run-efforts-table/2.html,2,36,5m,168spm
37.0,,6.533333333333333,6.416666666666667,123,,../data/run-efforts-table/2.html,2,37,-5m,164spm
38.0,,8.05,7.133333333333334,122,,../data/run-efforts-table/2.html,2,38,29m,146spm
39.0,,7.55,7.05,120,,../data/run-efforts-table/2.html,2,39,10m,152spm
40.0,,6.133333333333334,6.366666666666666,115,,../data/run-efforts-table/2.html,2,40,-26m,170spm
41.0,,6.366666666666666,6.366666666666666,115,,../data/run-efforts-table/2.html,2,41,-9m,170spm
42.0,,6.216666666666667,6.3,118,,../data/run-efforts-table/2.html,2,42,-14m,166spm
43.0,,6.45,6.45,120,,../data/run-efforts-table/2.html,2,43,-5m,170spm
44.0,,6.833333333333333,6.833333333333333,117,,../data/run-efforts-table/2.html,2,44,-3m,156spm
45.0,,7.233333333333333,7.1,114,,../data/run-efforts-table/2.html,2,45,0m,156spm
46.0,,7.2,7.0,115,,../data/run-efforts-table/2.html,2,46,-1m,152spm
47.0,,6.533333333333333,6.4,121,,../data/run-efforts-table/2.html,2,47,-3m,156spm
48.0,,6.4,6.283333333333333,121,,../data/run-efforts-table/2.html,2,48,0m,168spm
49.0,,6.4,6.35,120,,../data/run-efforts-table/2.html,2,49,0m,168spm
50.0,,6.633333333333333,6.483333333333333,121,,../data/run-efforts-table/2.html,2,50,3m,168spm
51.0,,7.533333333333333,7.166666666666667,118,,../data/run-efforts-table/2.html,2,51,9m,150spm
52.0,,6.45,6.416666666666667,118,,../data/run-efforts-table/2.html,2,52,-9m,168spm
53.0,,6.883333333333333,6.85,116,,../data/run-efforts-table/2.html,2,53,-4m,162spm
54.0,,6.733333333333333,6.633333333333333,119,,../data/run-efforts-table/2.html,2,54,0m,168spm
55.0,,7.483333333333333,7.266666666666667,115,,../data/run-efforts-table/2.html,2,55,3m,156spm
56.0,,6.816666666666666,6.783333333333333,117,,../data/run-efforts-table/2.html,2,56,1m,168spm
57.0,,6.833333333333333,6.7,119,,../data/run-efforts-table/2.html,2,57,2m,166spm
58.0,,6.833333333333333,6.85,121,,../data/run-efforts-table/2.html,2,58,-2m,168spm
59.0,,7.366666666666666,7.25,119,,../data/run-efforts-table/2.html,2,59,1m,158spm
60.0,,6.733333333333333,6.733333333333333,120,,../data/run-efforts-table/2.html,2,60,-1m,170spm
61.0,,7.266666666666667,7.083333333333333,121,,../data/run-efforts-table/2.html,2,61,5m,160spm
62.0,,7.6,7.35,116,,../data/run-efforts-table/2.html,2,62,4m,150spm
63.0,,8.283333333333333,7.716666666666667,115,,../data/run-efforts-table/2.html,2,63,17m,142spm
64.0,,6.866666666666667,6.833333333333333,116,,../data/run-efforts-table/2.html,2,64,-4m,170spm
65.0,,7.233333333333333,7.166666666666667,114,,../data/run-efforts-table/2.html,2,65,-3m,158spm
66.0,,7.483333333333333,7.133333333333334,110,,../data/run-efforts-table/2.html,2,66,8m,156spm
67.0,,7.366666666666666,6.916666666666667,117,,../data/run-efforts-table/2.html,2,67,15m,162spm
68.0,,7.466666666666667,7.2,115,,../data/run-efforts-table/2.html,2,68,0m,156spm
69.0,,6.616666666666667,6.633333333333333,116,,../data/run-efforts-table/2.html,2,69,-11m,166spm
70.0,,7.2,6.95,120,,../data/run-efforts-table/2.html,2,70,7m,160spm
71.0,,7.666666666666667,7.283333333333333,116,,../data/run-efforts-table/2.html,2,71,8m,152spm
72.0,,6.7,6.766666666666667,117,,../data/run-efforts-table/2.html,2,72,-11m,168spm
73.0,,7.166666666666667,7.083333333333333,119,,../data/run-efforts-table/2.html,2,73,1m,164spm
74.0,,8.133333333333333,7.816666666666666,115,,../data/run-efforts-table/2.html,2,74,5m,144spm
75.0,,8.95,8.483333333333333,109,,../data/run-efforts-table/2.html,2,75,12m,130spm
76.0,,6.766666666666667,6.666666666666667,118,,../data/run-efforts-table/2.html,2,76,0m,170spm
77.0,,8.916666666666666,8.216666666666667,112,,../data/run-efforts-table/2.html,2,77,15m,136spm
78.0,,6.733333333333333,6.8,114,,../data/run-efforts-table/2.html,2,78,-12m,172spm
79.0,,7.016666666666667,6.8,121,,../data/run-efforts-table/2.html,2,79,5m,168spm
80.0,,7.116666666666666,6.966666666666667,123,,../data/run-efforts-table/2.html,2,80,-1m,168spm
81.0,,9.216666666666667,8.333333333333334,119,,../data/run-efforts-table/2.html,2,81,23m,130spm
82.0,,8.55,7.666666666666667,118,,../data/run-efforts-table/2.html,2,82,25m,136spm
83.0,,7.1,7.1,118,,../data/run-efforts-table/2.html,2,83,-6m,162spm
84.0,,6.6,6.7,119,,../data/run-efforts-table/2.html,2,84,-16m,170spm
85.0,,6.883333333333333,7.033333333333333,118,,../data/run-efforts-table/2.html,2,85,-16m,164spm
86.0,,8.416666666666666,8.516666666666667,113,,../data/run-efforts-table/2.html,2,86,-9m,136spm
